Depth (m)	TOC_Leco (%)	S1 (mg HC/g rock)	S2 (mg HC/g rock)	S3 (mg HC/g rock)	Tmax (°C)	HI (mg HC/g TOC)	OI (mg CO2/g TOC)	PI	Name
83.0	3.68	0.69	17.34	0.33	424	471.195652173913	8.96739130434783	0.0382695507487521	WellC
83.5									WellC
84.0									WellC
85.0									WellC
85.6									WellC
86.2	3.74	0.87	14.3	0.33	422	382.352941176471	8.82352941176471	0.0573500329597891	WellC
86.8									WellC
87.4									WellC
88.0	4.53	0.66	21.09	0.35	422	465.562913907285	7.72626931567329	0.0303448275862069	WellC
88.5									WellC
89.1	3.89	0.54	15.48	0.34	424	397.943444730077	8.74035989717224	0.0337078651685393	WellC
89.7	3.23	0.55	13.37	0.19	424	413.931888544892	5.88235294117647	0.0395114942528736	WellC
90.5									WellC
91.1									WellC
91.7									WellC
92.3									WellC
92.8									WellC
93.6	3.86	0.72	20.5	0.34	422	531.088082901554	8.80829015544042	0.0339302544769086	WellC
94.2									WellC
94.8									WellC
95.4	2.88	0.54	12.09	0.25	427	419.791666666667	8.68055555555556	0.0427553444180523	WellC
96.0									WellC
96.9	3.39	0.58	15.13	0.27	424	446.312684365782	7.9646017699115	0.0369191597708466	WellC
97.5									WellC
98.1									WellC
98.7									WellC
99.3									WellC
99.9	3.1	0.58	12.12	0.21	423	390.967741935484	6.7741935483871	0.0456692913385827	WellC
100.5									WellC
101.1									WellC
101.7									WellC
102.6									WellC
103.2									WellC
103.8									WellC
104.4	2.72	0.51	9.76	0.25	428	358.823529411765	9.19117647058824	0.0496592015579357	WellC
105.0									WellC
105.6	2.5	0.46	8.67	0.27	427	346.8	10.8	0.0503833515881709	WellC
106.2									WellC
106.8	2.15	0.25	7.01	0.23	426	326.046511627907	10.6976744186047	0.034435261707989	WellC
107.2	1.8	0.19	5.05	0.21	424	280.555555555556	11.6666666666667	0.0362595419847328	WellC
108.0									WellC
108.6									WellC
109.2	2.82	0.3	7.66	0.24	426	271.631205673759	8.51063829787234	0.0376884422110553	WellC
109.8									WellC
111.3									WellC
111.9									WellC
112.6									WellC
113.2									WellC
113.8	2	0.32	6.53	0.4	427	326.5	20	0.0467153284671533	WellC
114.2									WellC
115.1									WellC
115.6									WellC
116.2									WellC
116.8									WellC
117.4	2.86	0.4	8.38	0.27	426	293.006993006993	9.44055944055944	0.0455580865603645	WellC
118.1									WellC
118.7									WellC
119.3									WellC
119.9									WellC
120.5									WellC
121.0	0.63	0.05	0.31	0.31	431	49.2063492063492	49.2063492063492	0.138888888888889	WellC
121.7									WellC
122.3									WellC
122.9									WellC
123.5									WellC
123.7									WellC
124.2									WellC
124.8									WellC
125.3	1.22	0.05	0.7	0.18	438	57.3770491803279	14.7540983606557	0.0666666666666667	WellC
126.0									WellC
126.6									WellC
127.1									WellC
127.2									WellC
127.7									WellC
128.5									WellC
129.1	0.96	0.03	0.47	0.29	436	48.9583333333333	30.2083333333333	0.06	WellC
129.7									WellC
130.3									WellC
131.0									WellC
131.6	1.08	0.14	0.38	0.19	436	35.1851851851852	17.5925925925926	0.269230769230769	WellC
132.2									WellC
132.8									WellC
133.5									WellC
134.0									WellC
134.4									WellC
134.6									WellC
135.2									WellC
135.8									WellC
136.5									WellC
137.0									WellC
137.7									WellC
138.3									WellC
138.9									WellC
139.5									WellC
140.1									WellC
146.1	2.85	0.07	4.11	0.31	441	144.210526315789	10.8771929824561	0.0167464114832536	WellC
151.5	1.99	0.09	4.52	0.31	442	227.13567839196	15.5778894472362	0.0195227765726681	WellC
156.4	1.44	0.03	2.59	0.22	442	179.861111111111	15.2777777777778	0.0114503816793893	WellC
165.0	1.1	0.04	0.83	0.22	438	75.4545454545455	20	0.0459770114942529	WellC
170.6	1.07	0	0.49	0.23	438	45.7943925233645	21.4953271028037	0	WellC
183.1	1.25	0.04	1.29	0.18	441	103.2	14.4	0.0300751879699248	WellC
