# Trench data from Plates Project
-95.3118000000	15.0071000000
-95.3048000000	14.9981000000
-95.2324000000	14.9508000000
-95.1553000000	14.9147000000
-95.0549000000	14.8606000000
-94.9474000000	14.8020000000
-94.8329000000	14.7253000000
-94.7255000000	14.6553000000
-94.6227000000	14.5831000000
-94.5246000000	14.4950000000
-94.4311000000	14.4114000000
-94.3027000000	14.3278000000
-94.2022000000	14.2848000000
-94.0574000000	14.2193000000
-93.9266000000	14.1492000000
-93.8752000000	14.1130000000
-93.8098000000	14.0722000000
-93.7117000000	14.0157000000
-93.6066000000	13.9659000000
-93.4618000000	13.8934000000
-93.3286000000	13.8323000000
-93.2165000000	13.7825000000
-93.0974000000	13.7304000000
-93.0250000000	13.6941000000
-92.9783000000	13.6737000000
-92.9035000000	13.6170000000
-92.8357000000	13.5581000000
-92.7563000000	13.5127000000
-92.6699000000	13.4810000000
-92.5601000000	13.4379000000
-92.4994000000	13.4084000000
-92.4387000000	13.3652000000
-92.3663000000	13.3198000000
-92.2728000000	13.2699000000
-92.1630000000	13.2109000000
-92.1303000000	13.1973000000
-92.0112000000	13.1427000000
-91.8664000000	13.0837000000
-91.7333000000	13.0292000000
-91.5978000000	12.9633000000
-91.4763000000	12.8996000000
-91.3759000000	12.8382000000
-91.2544000000	12.7745000000
-91.1213000000	12.7199000000
-91.0115000000	12.6722000000
-90.9157000000	12.6267000000
-90.8130000000	12.5811000000
-90.6728000000	12.5197000000
-90.5584000000	12.4696000000
-90.4650000000	12.4377000000
-90.3388000000	12.3876000000
-90.2127000000	12.3444000000
-90.1030000000	12.3102000000
-90.0376000000	12.2920000000
-90.0049000000	12.2783000000
-89.9395000000	12.2578000000
-89.7993000000	12.2100000000
-89.6615000000	12.1827000000
-89.5448000000	12.1439000000
-89.4256000000	12.0869000000
-89.2902000000	12.0322000000
-89.1851000000	12.0003000000
-89.0473000000	11.9661000000
-88.8885000000	11.9091000000
-88.7997000000	11.8680000000
-88.6993000000	11.8178000000
-88.6152000000	11.7698000000
-88.4820000000	11.7013000000
-88.3956000000	11.6648000000
-88.3442000000	11.6396000000
-88.2251000000	11.5825000000
-88.1317000000	11.5300000000
-88.0172000000	11.4705000000
-87.9191000000	11.4157000000
-87.8280000000	11.3493000000
-87.7369000000	11.2853000000
-87.6575000000	11.2189000000
-87.5523000000	11.1411000000
-87.4496000000	11.0793000000
-87.3491000000	11.0037000000
-87.2627000000	10.9304000000
-87.2159000000	10.8662000000
-87.1552000000	10.7676000000
-87.1481000000	10.7584000000
-87.1435000000	10.7401000000
-87.0780000000	10.6575000000
-87.0056000000	10.5841000000
-86.9378000000	10.5084000000
-86.8607000000	10.4304000000
-86.8000000000	10.3454000000
-86.7415000000	10.2628000000
-86.6714000000	10.1571000000
-86.6107000000	10.0675000000
-86.5149000000	9.9847000000
-86.4191000000	9.9043000000
-86.3163000000	9.8238000000
-86.2182000000	9.7296000000
-86.1364000000	9.6559000000
-86.0406000000	9.5616000000
-85.9915000000	9.4764000000
-85.9798000000	9.4327000000
-85.9588000000	9.4050000000
-85.8583000000	9.2922000000
-85.7695000000	9.2116000000
-85.6364000000	9.1402000000
-85.4869000000	9.0803000000
-85.3561000000	9.0251000000
-85.2487000000	8.9882000000
-85.0805000000	8.9330000000
-84.9334000000	8.8685000000
-84.8236000000	8.8224000000
-84.7302000000	8.7878000000
-84.6671000000	8.7625000000
-84.5807000000	8.7256000000
-84.5176000000	8.6910000000
-84.4639000000	8.6495000000
-84.3915000000	8.6010000000
-84.3120000000	8.5411000000
-84.2186000000	8.4718000000
-84.0855000000	8.4095000000
-83.9967000000	8.3657000000
-83.8893000000	8.3057000000
-83.7841000000	8.2387000000
-83.6930000000	8.1810000000
-83.5879000000	8.1140000000
-83.4968000000	8.0563000000
-83.3753000000	7.9778000000
-83.2609000000	7.8923000000
-83.1931000000	7.8298000000
-83.1020000000	7.7327000000
-82.9945000000	7.6495000000
-82.9174000000	7.5847000000
-82.8357000000	7.5292000000
-82.7375000000	7.4459000000
-82.6394000000	7.3626000000
-82.5109000000	7.2770000000
-82.3965000000	7.2052000000
-82.3568000000	7.1728000000
-82.2540000000	7.1080000000
-82.1185000000	7.0293000000
-81.9924000000	6.9575000000
-81.8662000000	6.9112000000
-81.7518000000	6.8673000000
-81.6397000000	6.8186000000
-81.5322000000	6.7816000000
-81.4692000000	6.7654000000
-81.3594000000	6.7307000000
-81.2660000000	6.7168000000
-81.1516000000	6.7123000000
-81.0232000000	6.7054000000
-80.8947000000	6.6823000000
-80.7383000000	6.6545000000
-80.5958000000	6.6337000000
-80.4790000000	6.6268000000
-80.3273000000	6.6362000000
-80.2292000000	6.6618000000
-80.1078000000	6.7036000000
-80.0051000000	6.7547000000
-79.9117000000	6.8104000000
-79.8324000000	6.8545000000
-79.7670000000	6.8893000000
-79.6923000000	6.9125000000
-79.5849000000	6.9079000000
-79.4915000000	6.8941000000
-79.3934000000	6.8872000000
-79.3070000000	6.8895000000
-79.2019000000	6.9058000000
-79.1062000000	6.9128000000
-79.0268000000	6.9245000000
-78.9241000000	6.9315000000
-78.8400000000	6.9339000000
-78.7256000000	6.9247000000
-78.6905000000	6.9015000000
-78.6088000000	6.8691000000
-78.5387000000	6.8274000000
-78.4639000000	6.7671000000
-78.3985000000	6.6628000000
-78.3424000000	6.5678000000
-78.2769000000	6.4588000000
-78.2209000000	6.3660000000
-78.1484000000	6.2569000000
-78.0876000000	6.1757000000
-78.0292000000	6.0945000000
-77.9661000000	5.9900000000
-77.9264000000	5.8972000000
