-179.1498	-33.5281	24.82	5.3	2021-01-18T17:40:21.391
-68.7992	-31.8334	20.81	6.4	2021-01-19T02:46:22.380
-68.7944	-31.7882	10	5.3	2021-01-19T03:37:44.721
125.2798	-7.3486	428.11	5.4	2021-01-19T05:01:03.819
166.812	-13.3484	40.82	5.1	2021-01-19T20:18:18.183
147.7081	49.7105	587.39	5.6	2021-01-20T16:00:41.671
-75.5583	-14.9438	13.19	5.1	2021-01-20T22:27:43.467
-75.523	-15.0128	5.29	5.5	2021-01-20T22:59:11.650
-75.5484	-14.9355	10	5.3	2021-01-20T23:09:16.328
127.5145	4.9931	80	7	2021-01-21T12:23:04.255
33.7163	35.0489	62.88	5	2021-01-21T14:27:06.744
-27.4872	47.5057	10	5	2021-01-22T01:31:31.006
-179.3646	-33.1561	34	5.6	2021-01-22T16:23:40.726
147.6412	-6.2986	27	5.8	2021-01-23T03:19:51.503
142.6196	42.322	108.19	5	2021-01-23T05:39:18.365
147.668	-6.3029	38.55	5.2	2021-01-23T08:34:31.154
-179.468	-24.3796	430.69	5.5	2021-01-23T11:47:34.082
-25.9966	-57.5643	72.56	5	2021-01-23T12:06:33.904
147.6801	-6.2708	35.1	5.4	2021-01-23T16:58:50.638
-55.5027	-61.8098	15	6.9	2021-01-23T23:36:51.667
-55.2943	-61.6966	10	5.4	2021-01-23T23:48:39.023
-55.4547	-61.8467	10	5	2021-01-24T00:03:17.316
-70.1484	-33.3533	109.48	5.7	2021-01-24T00:07:45.266
161.9647	-51.1903	10	5.8	2021-01-24T05:47:53.358
162.0798	-51.1564	10	5.3	2021-01-24T05:49:38.466
-177.1414	-17.3604	363.75	5	2021-01-24T06:36:34.289
166.9133	-14.6127	17.94	5.1	2021-01-24T09:29:45.638
-55.3579	-61.767	10	5.5	2021-01-24T12:14:45.404
102.533	-4.4396	54.96	5.1	2021-01-24T13:03:29.348
126.504	8.99	64.31	5.2	2021-01-24T14:26:45.309
10.0684	-52.9253	10	5.2	2021-01-24T15:11:13.986
133.5283	-1.9282	10	5.1	2021-01-24T18:42:04.857
71.6199	37.1151	117.26	5	2021-01-24T19:01:22.736
176.4372	-38.1499	10	5.1	2021-01-24T19:12:34.811
-162.1691	54.4249	39.38	5	2021-01-24T21:16:22.341
-64.0708	18.2516	94	5.4	2021-01-24T23:21:41.140
123.5732	23.4722	10	5.2	2021-01-25T07:25:35.354
152.2044	-4.5716	98.52	5.2	2021-01-25T07:53:22.301
-178.6792	-15.7415	10	5.1	2021-01-25T20:42:07.592
151.8753	-5.5476	46.94	5.1	2021-01-25T21:26:10.095
155.7839	-6.9635	75.24	5.3	2021-01-26T04:17:55.285
165.2638	-11.2697	10	5	2021-01-26T05:08:48.838
-55.3861	-61.8961	10	5	2021-01-27T04:08:27.072
123.4695	0.0083	137.17	5	2021-01-27T04:19:56.888
141.9609	42.7117	115.63	5.2	2021-01-27T05:06:53.279
154.1028	-6.3565	10	5	2021-01-28T06:03:22.134
120.5059	13.4978	43.3	5	2021-01-29T05:12:23.256
159.1093	-8.5013	128.77	5	2021-01-29T05:52:29.404
-82.95	8.2045	8	5.7	2021-01-29T12:41:38.710
-82.9669	8.2341	10	5.5	2021-01-29T13:14:44.617
-55.3065	-61.7393	10	5.4	2021-01-29T14:10:39.665
121.8641	-13.9672	10	5.7	2021-01-29T19:47:55.782
-56.3899	-62.0988	10	5	2021-01-30T04:19:23.976
129.3592	-3.0905	9.32	5.3	2021-01-30T05:17:24.542
169.2391	54.1649	19.19	5.3	2021-01-30T08:35:16.602
-70.3542	-19.9589	58.5	5.2	2021-01-30T13:24:59.059
-57.6176	-62.238	10	5	2021-01-30T15:36:50.733
125.5284	0.5312	57.12	5	2021-01-30T17:00:58.604
145.4953	21.7592	10	5	2021-01-31T05:11:02.836
133.7606	-5.5312	10	5.3	2021-01-31T09:44:41.934
-59.5879	2.6675	5.21	5.5	2021-01-31T19:05:14.367
-25.9477	-59.1499	71.8	5.1	2021-02-01T05:19:59.927
26.0784	39.0217	10	5.2	2021-02-01T08:35:18.153
-128.8127	-55.1177	10	5.1	2021-02-01T11:48:48.266
-129.264	-55.5629	10	5.2	2021-02-01T11:51:01.674
87.362	28.8225	8.7	5	2021-02-02T02:31:13.845
126.4928	4.0123	45.62	5.2	2021-02-02T14:37:39.852
177.95	-16.282	10	5.8	2021-02-02T20:49:27.595
171.9044	-22.7369	9	5.8	2021-02-02T23:58:34.546
171.6763	-22.9213	10	5.2	2021-02-03T00:00:06.878
171.8512	-22.8151	10	5.4	2021-02-03T00:05:33.711
171.7978	-22.7508	10	5.6	2021-02-03T00:42:20.109
171.7882	-22.9499	10	5	2021-02-03T00:49:45.345
171.8306	-22.7832	10	5.3	2021-02-03T00:51:36.641
171.7783	-22.8734	10	5	2021-02-03T01:44:33.286
-97.8	-36.2797	10	6.7	2021-02-03T05:23:43.519
-12.9711	10.4151	10	5	2021-02-03T09:55:06.388
-173.8138	-20.3307	10	5.1	2021-02-03T11:11:15.375
-55.1596	-61.735	10	5	2021-02-03T16:35:52.572
147.4341	-6.2135	36.93	5.3	2021-02-03T16:49:11.561
87.3785	28.7463	10	5.1	2021-02-04T05:06:23.654
118.7945	14.632	10	5.2	2021-02-04T07:48:10.727
121.9326	21.5612	10	5.4	2021-02-04T08:14:02.767
171.9621	-22.6054	11	5.7	2021-02-04T12:14:26.914
147.6771	44.3922	82.46	5	2021-02-04T19:27:37.026
122.976	14.5452	10	5.1	2021-02-04T22:00:43.301
170.1138	-20.1783	40.7	5	2021-02-04T23:48:56.240
